xÁÂÇ¥,yÁÂÇ¥,radius
37.49907341,127.0266242,483.0716118
37.52509668,127.035212,550.6596417
37.50224915,127.0513801,813.6370973
37.51953471,127.0198894,775.128657
37.49483877,127.0324259,630.4485334
37.50652533,127.0327924,543.5655075
37.48487361,127.0393824,696.0022402
37.50735878,127.0218963,439.9795946
37.52465062,127.0452015,517.5483402
37.51030436,127.0607095,696.8975256
37.50969526,127.0536351,609.7424695
37.52344031,127.0275371,670.3510646
37.51525544,127.0365419,688.9043768
37.50448405,127.0419414,630.598033